
2024/11/26 (18:39:34) | ===> btop++ v.1.4.0
2024/11/26 (18:39:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (21:10:04) | ===> btop++ v.1.4.0
2024/11/26 (21:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (09:20:32) | ===> btop++ v.1.4.0
2024/11/27 (09:20:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (19:21:03) | ===> btop++ v.1.4.0
2024/11/27 (19:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (12:06:39) | ===> btop++ v.1.4.0
2024/11/30 (12:06:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (16:26:37) | ===> btop++ v.1.4.0
2024/11/30 (16:26:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (23:05:27) | ===> btop++ v.1.4.0
2024/12/02 (23:05:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (20:17:24) | ===> btop++ v.1.4.0
2024/12/03 (20:17:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (19:06:30) | ===> btop++ v.1.4.0
2024/12/06 (19:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (20:03:46) | ===> btop++ v.1.4.0
2024/12/10 (20:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (14:56:21) | ===> btop++ v.1.4.0
2024/12/11 (14:56:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (17:42:17) | ===> btop++ v.1.4.0
2024/12/11 (17:42:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (11:13:51) | ===> btop++ v.1.4.0
2024/12/12 (11:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (12:10:48) | ===> btop++ v.1.4.0
2024/12/12 (12:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:06:02) | ===> btop++ v.1.4.0
2024/12/14 (11:06:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (11:50:56) | ===> btop++ v.1.4.0
2024/12/15 (11:50:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (13:27:07) | ===> btop++ v.1.4.0
2024/12/17 (13:27:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (20:17:03) | ===> btop++ v.1.4.0
2024/12/17 (20:17:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (20:53:18) | ===> btop++ v.1.4.0
2024/12/17 (20:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (12:16:33) | ===> btop++ v.1.4.0
